epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,888.358,0.58295,0.32565,0.89017,0.51912,0.39857,0.41635,0.27821,1.22206,1.18322,1.36525,0.00124318,0.00124318,0.00124318
59,903.871,0.57136,0.32478,0.89262,0.75597,0.40682,0.42297,0.27501,1.21251,1.22036,1.43746,0.00124306,0.00124306,0.00124306
60,919.178,0.57165,0.322,0.89071,0.78646,0.37103,0.38899,0.26167,1.19688,1.17062,1.39545,0.00124294,0.00124294,0.00124294
61,934.284,0.56338,0.31865,0.88654,0.54183,0.39682,0.41255,0.27661,1.21114,1.13478,1.35514,0.00124282,0.00124282,0.00124282
62,949.398,0.57582,0.32572,0.89193,0.49312,0.38992,0.39923,0.26889,1.2127,1.13765,1.39353,0.0012427,0.0012427,0.0012427
63,964.63,0.57067,0.3204,0.88644,0.51468,0.38015,0.40161,0.26649,1.22088,1.19336,1.39228,0.00124258,0.00124258,0.00124258
64,979.99,0.57205,0.32548,0.89101,0.53566,0.37466,0.40175,0.26814,1.22995,1.22056,1.43066,0.00124246,0.00124246,0.00124246
65,995.171,0.55864,0.31783,0.88711,0.53949,0.4105,0.43363,0.28668,1.23432,1.09156,1.39856,0.00124234,0.00124234,0.00124234
66,1010.25,0.56702,0.31772,0.88903,0.51644,0.40329,0.41985,0.26744,1.16991,1.06802,1.31256,0.00124222,0.00124222,0.00124222
67,1025.49,0.56081,0.3207,0.88911,0.77368,0.40208,0.41875,0.27351,1.20931,1.23843,1.35746,0.00124211,0.00124211,0.00124211
68,1040.76,0.55713,0.31368,0.88326,0.46952,0.40712,0.41096,0.2761,1.15946,1.2019,1.35212,0.00124199,0.00124199,0.00124199
69,1055.64,0.56564,0.31716,0.8903,0.56792,0.39828,0.42507,0.27876,1.21719,1.16438,1.36969,0.00124187,0.00124187,0.00124187
70,1070.93,0.56408,0.31529,0.88868,0.86524,0.39559,0.42413,0.28479,1.15853,1.11311,1.3318,0.00124175,0.00124175,0.00124175
71,1086.36,0.55749,0.31552,0.88446,0.53653,0.39339,0.41627,0.26939,1.20401,1.2936,1.3781,0.00124163,0.00124163,0.00124163
72,1101.66,0.55639,0.31589,0.88543,0.81265,0.38322,0.40713,0.27756,1.13642,1.19954,1.2606,0.00124151,0.00124151,0.00124151
73,1116.97,0.56704,0.31842,0.88893,0.4523,0.39201,0.38367,0.26143,1.14511,1.1762,1.32322,0.00124139,0.00124139,0.00124139
74,1132.21,0.57113,0.32115,0.88845,0.76981,0.39604,0.41703,0.27379,1.17387,1.25124,1.40183,0.00124127,0.00124127,0.00124127
75,1147.36,0.55237,0.31232,0.88419,0.8033,0.38507,0.41463,0.27723,1.20508,1.14208,1.48938,0.00124115,0.00124115,0.00124115
76,1162.5,0.54885,0.31006,0.88441,0.58508,0.36258,0.41388,0.2763,1.1643,1.1896,1.31486,0.00124104,0.00124104,0.00124104
77,1177.79,0.54387,0.30688,0.88382,0.54462,0.38536,0.4102,0.27459,1.2283,1.19836,1.48053,0.00124092,0.00124092,0.00124092
78,1192.97,0.56086,0.31649,0.8894,0.60655,0.41398,0.4389,0.28453,1.17525,1.08938,1.34966,0.0012408,0.0012408,0.0012408
79,1208.16,0.55991,0.31557,0.88475,0.55703,0.39404,0.42543,0.28104,1.16345,1.16263,1.39589,0.00124068,0.00124068,0.00124068
80,1223.26,0.53826,0.30682,0.88378,0.53075,0.38343,0.40735,0.27321,1.16789,1.19388,1.35965,0.00124056,0.00124056,0.00124056
81,1238.34,0.54538,0.30696,0.88794,0.782,0.39879,0.40907,0.27996,1.18241,1.18357,1.3768,0.00124044,0.00124044,0.00124044
82,1253.57,0.55484,0.31123,0.88526,0.51517,0.38903,0.4053,0.2714,1.18004,1.13893,1.39522,0.00124032,0.00124032,0.00124032
83,1268.77,0.55152,0.31081,0.88401,0.84297,0.37561,0.40735,0.27099,1.2208,1.1454,1.41754,0.00124021,0.00124021,0.00124021
84,1284.06,0.55054,0.3114,0.8832,0.5323,0.38089,0.39034,0.25955,1.20336,1.18967,1.43915,0.00124009,0.00124009,0.00124009
85,1299.26,0.55207,0.31126,0.88281,0.48183,0.39247,0.39924,0.26771,1.19358,1.19099,1.40319,0.00123997,0.00123997,0.00123997
86,1314.49,0.54102,0.30531,0.88433,0.56696,0.38,0.39948,0.26544,1.17676,1.20023,1.3806,0.00123985,0.00123985,0.00123985
87,1329.53,0.54796,0.30598,0.88125,0.73077,0.34822,0.38622,0.25218,1.26964,1.28698,1.52956,0.00123973,0.00123973,0.00123973
88,1344.78,0.55308,0.30878,0.88172,0.75625,0.39032,0.41878,0.27725,1.16821,1.21516,1.31525,0.00123961,0.00123961,0.00123961
89,1360.02,0.53703,0.30393,0.88096,0.46528,0.39648,0.40218,0.26912,1.1771,1.18981,1.32191,0.00123949,0.00123949,0.00123949
90,1375.01,0.53525,0.30292,0.87827,0.46982,0.40095,0.40282,0.27092,1.19551,1.20486,1.56499,0.00123937,0.00123937,0.00123937
91,1390.21,0.54564,0.30544,0.88251,0.78239,0.39619,0.42276,0.28217,1.1652,1.174,1.35666,0.00123926,0.00123926,0.00123926
92,1405.61,0.54031,0.30562,0.88006,0.5179,0.37933,0.39976,0.26182,1.22914,1.24079,1.40418,0.00123914,0.00123914,0.00123914
93,1420.64,0.5438,0.30688,0.88247,0.56502,0.39811,0.42163,0.27925,1.18405,1.10958,1.33937,0.00123902,0.00123902,0.00123902
94,1435.63,0.53756,0.30502,0.88226,0.5236,0.39975,0.41232,0.27526,1.21422,1.15051,1.38142,0.0012389,0.0012389,0.0012389
95,1450.89,0.53435,0.3,0.88107,0.47104,0.39954,0.40797,0.26809,1.20056,1.16971,1.43631,0.00123878,0.00123878,0.00123878
96,1466.13,0.54081,0.3012,0.88034,0.82661,0.3876,0.41416,0.28047,1.18834,1.15635,1.4081,0.00123866,0.00123866,0.00123866
97,1481.48,0.54852,0.30759,0.8799,0.51573,0.39321,0.41545,0.27903,1.18733,1.15588,1.43537,0.00123854,0.00123854,0.00123854
98,1496.61,0.53148,0.2984,0.87554,0.79548,0.37782,0.40747,0.26981,1.2094,1.14892,1.44023,0.00123843,0.00123843,0.00123843
99,1511.69,0.53872,0.30077,0.88027,0.4707,0.3962,0.39062,0.26454,1.16093,1.17017,1.42319,0.00123831,0.00123831,0.00123831
100,1526.72,0.54056,0.30572,0.88177,0.51075,0.36373,0.38082,0.26254,1.17514,1.16267,1.37556,0.00123819,0.00123819,0.00123819
101,1541.83,0.53601,0.30218,0.88069,0.44489,0.38481,0.38435,0.26254,1.19295,1.13037,1.41331,0.00123807,0.00123807,0.00123807
102,1556.95,0.52009,0.29594,0.87683,0.45474,0.39759,0.39074,0.26915,1.22707,1.12007,1.4342,0.00123795,0.00123795,0.00123795
103,1572.22,0.52846,0.29612,0.87965,0.48173,0.40356,0.40335,0.27199,1.22378,1.13201,1.42935,0.00123783,0.00123783,0.00123783
104,1587.85,0.53287,0.30097,0.88116,0.55755,0.3879,0.4018,0.27048,1.21262,1.20628,1.50817,0.00123772,0.00123772,0.00123772
105,1603.16,0.53965,0.30733,0.88162,0.76036,0.39367,0.40465,0.26596,1.18224,1.14282,1.35904,0.00123759,0.00123759,0.00123759
106,1618.15,0.51795,0.2942,0.8763,0.51652,0.3861,0.40001,0.26573,1.21306,1.13252,1.33253,0.00123747,0.00123747,0.00123747
107,1633.22,0.52378,0.29567,0.87701,0.53715,0.38737,0.40947,0.27329,1.20111,1.13614,1.36563,0.00123736,0.00123736,0.00123736
108,1648.76,0.51866,0.28826,0.87362,0.49671,0.40557,0.41577,0.2793,1.15931,1.12864,1.3405,0.00123724,0.00123724,0.00123724
109,1664.63,0.51332,0.29082,0.87477,0.73273,0.38614,0.40131,0.26725,1.20172,1.14624,1.42247,0.00123712,0.00123712,0.00123712
110,1680.23,0.52626,0.2974,0.87662,0.75964,0.36255,0.38356,0.25833,1.24825,1.19937,1.43344,0.00123699,0.00123699,0.00123699
111,1695.47,0.52469,0.29775,0.87589,0.56409,0.36112,0.3957,0.26615,1.22661,1.22915,1.447,0.00123687,0.00123687,0.00123687
112,1710.81,0.53778,0.30137,0.8817,0.49848,0.37311,0.38407,0.26019,1.24574,1.2219,1.51756,0.00123675,0.00123675,0.00123675
113,1725.92,0.52282,0.29143,0.87941,0.8268,0.3815,0.41592,0.28118,1.16893,1.23115,1.38014,0.00123663,0.00123663,0.00123663
114,1741.14,0.52395,0.29555,0.87484,0.57969,0.37082,0.40325,0.26999,1.16772,1.192,1.4196,0.00123652,0.00123652,0.00123652
115,1756.36,0.52316,0.2947,0.87804,0.56798,0.37449,0.40463,0.27041,1.17592,1.18697,1.36444,0.0012364,0.0012364,0.0012364
116,1772,0.51428,0.29175,0.87417,0.53198,0.39539,0.4079,0.27501,1.16069,1.12909,1.27272,0.00123628,0.00123628,0.00123628
117,1787.26,0.5134,0.28989,0.87381,0.52722,0.37182,0.39318,0.26261,1.14829,1.18847,1.30996,0.00123616,0.00123616,0.00123616
118,1802.35,0.50913,0.28742,0.87141,0.50572,0.38601,0.40085,0.26339,1.17893,1.19039,1.3341,0.00123604,0.00123604,0.00123604
119,1817.3,0.52107,0.29256,0.87503,0.51537,0.38744,0.40685,0.27535,1.17505,1.1625,1.38715,0.00123592,0.00123592,0.00123592
120,1832.54,0.51584,0.29006,0.87234,0.51046,0.38814,0.40857,0.27344,1.19082,1.13879,1.33914,0.0012358,0.0012358,0.0012358
121,1847.6,0.51083,0.28939,0.8754,0.56744,0.38991,0.4133,0.27464,1.2259,1.18496,1.41717,0.00123568,0.00123568,0.00123568
122,1862.68,0.50862,0.28919,0.8713,0.47845,0.39647,0.39472,0.26917,1.21174,1.17035,1.37414,0.00123556,0.00123556,0.00123556
123,1877.9,0.49657,0.28197,0.87157,0.54787,0.37037,0.39102,0.25881,1.22259,1.19643,1.49452,0.00123545,0.00123545,0.00123545
124,1893.03,0.51228,0.28656,0.86843,0.58611,0.38225,0.41777,0.27442,1.20167,1.19896,1.43745,0.00123533,0.00123533,0.00123533
125,1908.11,0.50619,0.28701,0.86983,0.54381,0.38927,0.41253,0.26745,1.21658,1.20054,1.52674,0.00123521,0.00123521,0.00123521
126,1923.26,0.51303,0.28959,0.87344,0.49148,0.39719,0.40693,0.27306,1.19249,1.1597,1.39322,0.00123509,0.00123509,0.00123509
127,1938.59,0.50982,0.28719,0.87043,0.55699,0.39429,0.41436,0.26804,1.17243,1.16459,1.3482,0.00123497,0.00123497,0.00123497
128,1953.71,0.52089,0.29108,0.87668,0.56104,0.37584,0.39915,0.2646,1.2233,1.23341,1.3981,0.00123485,0.00123485,0.00123485
129,1968.93,0.50635,0.28809,0.87314,0.52147,0.35792,0.38121,0.26484,1.17286,1.23919,1.35606,0.00123474,0.00123474,0.00123474
130,1984.24,0.50699,0.28677,0.86773,0.54511,0.37892,0.39879,0.26422,1.21465,1.23371,1.48041,0.00123462,0.00123462,0.00123462
131,1999.35,0.50573,0.28455,0.87174,0.51919,0.39369,0.4094,0.27755,1.16011,1.19573,1.37785,0.0012345,0.0012345,0.0012345
132,2014.5,0.49681,0.27901,0.86767,0.56168,0.37013,0.40795,0.26729,1.14668,1.19158,1.33604,0.00123438,0.00123438,0.00123438
133,2029.63,0.49649,0.27995,0.86947,0.55885,0.37211,0.40118,0.26757,1.18127,1.17871,1.34896,0.00123426,0.00123426,0.00123426
134,2044.65,0.50741,0.28896,0.86868,0.51681,0.37956,0.40432,0.26953,1.17232,1.16859,1.46145,0.00123414,0.00123414,0.00123414
135,2059.83,0.50434,0.28455,0.86828,0.55092,0.39054,0.4128,0.2758,1.16415,1.12926,1.4087,0.00123403,0.00123403,0.00123403
136,2074.94,0.49775,0.28036,0.87054,0.54289,0.36652,0.39788,0.25879,1.18753,1.17451,1.52697,0.00123391,0.00123391,0.00123391
137,2089.93,0.49686,0.27744,0.86887,0.48605,0.40796,0.4112,0.26496,1.1688,1.17694,1.39535,0.00123379,0.00123379,0.00123379
138,2105.06,0.48811,0.27618,0.8662,0.72353,0.40103,0.4073,0.26494,1.20452,1.13825,1.52495,0.00123367,0.00123367,0.00123367
139,2120.37,0.50648,0.28278,0.87066,0.54924,0.39824,0.41962,0.268,1.22412,1.15465,1.52583,0.00123355,0.00123355,0.00123355
